User-ID;ISBN;Book-Rating
6963;7;2
7047;7;2
7059;7;2
37;8;1
81;8;1
142;8;1
228;8;1
252;8;7
260;8;2
404;8;1
417;8;1
485;8;2
486;8;2
543;8;2
548;8;1
674;8;1
753;8;1
769;8;1
824;8;1
955;8;2
965;8;1
1091;8;2
1114;8;1
1255;8;1
1284;8;1
1335;8;1
1359;8;1
1389;8;2
1397;8;1
1516;8;1
1533;8;1
1580;8;1
1620;8;1
1672;8;1
1674;8;2
1700;8;2
1894;8;1
1902;8;1
1952;8;2
1960;8;3
1973;8;1
1982;8;1
2005;8;1
2082;8;1
2091;8;1
2092;8;1
2093;8;1
2141;8;1
2190;8;1
2293;8;1
2402;8;1
2452;8;1
2489;8;1
2569;8;1
2799;8;2
2830;8;1
2865;8;1
2970;8;1
3005;8;1
3051;8;4
3070;8;1
3176;8;1
3207;8;1
3210;8;1
3378;8;1
3380;8;1
3433;8;1
3438;8;1
3594;8;1
3674;8;1
3698;8;1
3783;8;2
3862;8;1
3944;8;1
4228;8;1
4236;8;1
4300;8;1
4307;8;1
4338;8;1
4343;8;1
4346;8;1
4400;8;1
4584;8;1
4658;8;2
4741;8;1
4783;8;1
4790;8;1
4877;8;2
4890;8;1
4900;8;1
5231;8;1
5240;8;1
5316;8;1
5341;8;1
5399;8;1
5427;8;1
5490;8;3
5570;8;1
5594;8;1
5600;8;1
5699;8;1
5753;8;1
5806;8;1
5946;8;1
5970;8;1
6321;8;1
6325;8;2
6429;8;1
6430;8;1
6482;8;1
6841;8;1
6851;8;2
6910;8;1
6940;8;1
7047;8;8
7048;8;5
7058;8;3
7061;8;1
7069;8;1
7144;8;1
7546;8;1
7559;8;1
7759;8;1
7766;8;1
37;9;1
231;9;1
404;9;1
486;9;2
543;9;3
650;9;1
783;9;1
898;9;1
955;9;1
965;9;1
1091;9;3
1294;9;1
1633;9;2
1700;9;3
1894;9;1
1902;9;1
1960;9;3
2005;9;1
2091;9;1
2093;9;1
2221;9;1
2452;9;1
2569;9;1
2830;9;1
3051;9;4
3176;9;1
3339;9;1
3378;9;2
3380;9;1
3433;9;1
3594;9;1
3767;9;4
